2024-07-12 17:23:26.606 [info] Log level: Info
2024-07-12 17:23:26.606 [info] Validating found git in: "git"
2024-07-12 17:23:26.606 [info] Using git "2.34.1" from "git"
2024-07-12 17:23:26.606 [info] > git rev-parse --show-toplevel [35ms]
2024-07-12 17:23:26.607 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:26.612 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:23:26.650 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:23:26.658 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:26.663 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:26.668 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:26.671 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:23:28.588 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:30.948 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:47.683 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:23:51.966 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:49.244 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:49.796 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:50.161 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:50.653 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:24:51.785 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:52.897 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:24:54.005 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:24:55.465 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:25:47.869 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:25:49.652 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:26:21.506 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:26:23.123 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:26:27.389 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:26:29.253 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:30:10.574 [info] > git rev-parse --show-toplevel [2ms]
2024-07-12 17:34:21.055 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:34:22.484 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:34:37.489 [info] > git rev-parse --show-toplevel [1ms]
2024-07-12 17:49:45.514 [info] > git rev-parse --show-toplevel [2ms]
